item	cond	group	plural	text	audio
001T	early	001T	sg	The actor || in the films was popular with both young and old fans	001T-early-sg.wav
002T	early	002T	sg	The apartment || with the leaks is too much for one repairman to handle	002T-early-sg.wav
003T	early	003T	sg	The argument || over the plates was presented by the leader of the group	003T-early-sg.wav
004T	early	004T	sg	The composer || of the operas was typically regarded as masterful	004T-early-sg.wav
005T	early	005T	sg	The confession || of the criminals was coerced by the shady police officers	005T-early-sg.wav
006T	early	006T	sg	The consultant || for the firms is preparing the offer for the potential buyer	006T-early-sg.wav
007T	early	007T	sg	The defect || in the cars was pricey to fix before being sold	007T-early-sg.wav
008T	early	008T	sg	The door || to the offices was painted before the start of the quarter	008T-early-sg.wav
009T	early	009T	sg	The dream || about the castles was totally forgotten by the king and queen	009T-early-sg.wav
010T	early	010T	sg	The entrance || to the laboratories is tough to find in the Psychology building	010T-early-sg.wav
011T	early	011T	sg	The garden || with the spikes is cleverly hidden behind the tall shrubs	011T-early-sg.wav
012T	early	012T	sg	The key || to the cabinets was placed by the entrance to the storage room	012T-early-sg.wav
013T	early	013T	sg	The label || on the bottles is tiny compared to previous product designs	013T-early-sg.wav
014T	early	014T	sg	The lab || with the computers is personally owned by the boss of the company	014T-early-sg.wav
015T	early	015T	sg	The letter || from the lawyers was taken to the jail house after trial	015T-early-sg.wav
016T	early	016T	sg	The map || of the creeks was treated with care by the park ranger	016T-early-sg.wav
017T	early	017T	sg	The mistake || in the programs was costing the company billions of dollars	017T-early-sg.wav
018T	early	018T	sg	The name || on the billboards is potentially visible from the highway	018T-early-sg.wav
019T	early	019T	sg	The pamphlet || from the agencies was terribly uninformative to consumers	019T-early-sg.wav
020T	early	020T	sg	The photo || of the politicians was kindly received by the general public	020T-early-sg.wav
021T	early	021T	sg	The picture || on the postcards was created by the skillful artist	021T-early-sg.wav
022T	early	022T	sg	The purpose || of the kits is to help wounded hikers mend small cuts	022T-early-sg.wav
023T	early	023T	sg	The reason || for the forts is totally unknown to the travelers	023T-early-sg.wav
024T	early	024T	sg	The record || from the singers is prominent in the world of pop music	024T-early-sg.wav
025T	early	025T	sg	The ruling || about the lots was probably ignored by the land owners	025T-early-sg.wav
026T	early	026T	sg	The scale || of the maps was posing a problem for the cartographer	026T-early-sg.wav
027T	early	027T	sg	The slogan || on the posters was picked by city council for the parade	027T-early-sg.wav
028T	early	028T	sg	The smell || of the socks was completely removed by the mother	028T-early-sg.wav
029T	early	029T	sg	The star || of the musicals was praised by the critics in the newspaper	029T-early-sg.wav
030T	early	030T	sg	The story || behind the myths was told to generations of children	030T-early-sg.wav
034T	early	034T	sg	The leader || of the gangs was being followed by the FBI for months on end	034T-early-sg.wav
037T	early	037T	sg	The assistant || for the labs is being supported by university funding	037T-early-sg.wav
038T	early	038T	sg	The courier || with the messages was expected to arrive before the office closed	038T-early-sg.wav
039T	early	039T	sg	The painting || of the mountains is a breathtaking sight to behold	039T-early-sg.wav
042T	early	042T	sg	The announcement || about the games is being broadcast on ESPN	042T-early-sg.wav
052T	early	052T	sg	The song || in the commercials has been uploaded to YouTube recently	052T-early-sg.wav
056T	early	056T	sg	The sale || of the sculptures was going to make the artist a lot of money	056T-early-sg.wav
058T	early	058T	sg	The representative || of the villages has been featured in the national newspaper	058T-early-sg.wav
066T	early	066T	sg	The logo || on the hoodies is being redesigned for the brand's relaunch	066T-early-sg.wav
067T	early	067T	sg	The doctor || for the patients has been waiting for the nurse for hours	067T-early-sg.wav
001T	late	001T	sg	The actor in the films || was popular with both young and old fans	001T-late-sg.wav
002T	late	002T	sg	The apartment with the leaks || is too much for one repairman to handle	002T-late-sg.wav
003T	late	003T	sg	The argument over the plates || was presented by the leader of the group	003T-late-sg.wav
004T	late	004T	sg	The composer of the operas || was typically regarded as masterful	004T-late-sg.wav
005T	late	005T	sg	The confession of the criminals || was coerced by the shady police officers	005T-late-sg.wav
006T	late	006T	sg	The consultant for the firms || is preparing the offer for the potential buyer	006T-late-sg.wav
007T	late	007T	sg	The defect in the cars || was pricey to fix before being sold	007T-late-sg.wav
008T	late	008T	sg	The door to the offices || was painted before the start of the quarter	008T-late-sg.wav
009T	late	009T	sg	The dream about the castles || was totally forgotten by the king and queen	009T-late-sg.wav
010T	late	010T	sg	The entrance to the laboratories || is tough to find in the Psychology building	010T-late-sg.wav
011T	late	011T	sg	The garden with the spikes || is cleverly hidden behind the tall shrubs	011T-late-sg.wav
012T	late	012T	sg	The key to the cabinets || was placed by the entrance to the storage room	012T-late-sg.wav
013T	late	013T	sg	The label on the bottles || is tiny compared to previous product designs	013T-late-sg.wav
014T	late	014T	sg	The lab with the computers || is personally owned by the boss of the company	014T-late-sg.wav
015T	late	015T	sg	The letter from the lawyers || was taken to the jail house after trial	015T-late-sg.wav
016T	late	016T	sg	The map of the creeks || was treated with care by the park ranger	016T-late-sg.wav
017T	late	017T	sg	The mistake in the programs || was costing the company billions of dollars	017T-late-sg.wav
018T	late	018T	sg	The name on the billboards || is potentially visible from the highway	018T-late-sg.wav
019T	late	019T	sg	The pamphlet from the agencies || was terribly uninformative to consumers	019T-late-sg.wav
020T	late	020T	sg	The photo of the politicians || was kindly received by the general public	020T-late-sg.wav
